australes,carpenteri,lapillus,polynesiensis	344
australes,carpenteri,lapillus,silvae	423
australes,carpenteri,polynesiensis,silvae	683
australes,lapillus,polynesiensis,silvae	922
carpenteri,lapillus,polynesiensis,silvae	14608
